,player_name,result_type,result_contest,result_zone,0 pts,2 pts,3 pts
0,Draymond Green,1-2D Pull-Up,Average,Mid-Left Above Break 3,0.5851278796466544,0.06969232428964801,0.3451797960636977
1,Draymond Green,1-2D Pull-Up,Average,Rim,0.401343535927027,0.373953448019899,0.22470301605307402
2,Draymond Green,1-2D Pull-Up,Average,Left Above Break 3,0.47421594050541727,0.07431004712353491,0.4514740123710478
3,Draymond Green,1-2D Pull-Up,Average,Left Corner 3,0.6024344386858569,0.07726049422132245,0.32030506709282075
4,Draymond Green,1-2D Pull-Up,Average,Mid-Right Above Break 3,0.5914985706400113,0.08013222905605374,0.328369200303935
5,Draymond Green,1-2D Pull-Up,Average,Right Above Break 3,0.5639705808788262,0.07584891586170539,0.3601805032594684
6,Draymond Green,1-2D Pull-Up,Average,Right Corner 3,0.5766799792507415,0.07802525327475579,0.3452947674745028
7,Draymond Green,1-2D Pull-Up,Plus,Mid-Left Above Break 3,0.5979045764718045,0.07321529153480169,0.3288801319933938
8,Draymond Green,1-2D Pull-Up,Plus,Rim,0.40826133286007416,0.3782793499697311,0.21345931717019484
9,Draymond Green,1-2D Pull-Up,Plus,Left Above Break 3,0.48978879191790153,0.07811007981938126,0.4321011282627172
10,Draymond Green,1-2D Pull-Up,Plus,Left Corner 3,0.6141867603231568,0.0809626897093697,0.30485054996747357
11,Draymond Green,1-2D Pull-Up,Plus,Mid-Right Above Break 3,0.6035606206052562,0.08390735706071775,0.3125320223340262
12,Draymond Green,1-2D Pull-Up,Plus,Right Above Break 3,0.5771083411186048,0.0796501636804128,0.34324149520098235
13,Draymond Green,1-2D Pull-Up,Plus,Right Corner 3,0.5894609851681168,0.08173660285326936,0.3288024119786138
14,Draymond Green,1-2D Pull-Up,Open,Mid-Left Above Break 3,0.501268957607299,0.14466914050042923,0.3540619018922717
15,Draymond Green,1-2D Pull-Up,Open,Rim,0.25960531372283296,0.5610714208611745,0.17932326541599258
16,Draymond Green,1-2D Pull-Up,Open,Left Above Break 3,0.38396827198577305,0.15827667678588997,0.457755051228337
17,Draymond Green,1-2D Pull-Up,Open,Left Corner 3,0.5154372785203043,0.1588155729456659,0.3257471485340298
18,Draymond Green,1-2D Pull-Up,Open,Mid-Right Above Break 3,0.5016031754730326,0.16522355745217437,0.333173267074793
19,Draymond Green,1-2D Pull-Up,Open,Right Above Break 3,0.47571541828932834,0.1571767031024718,0.3671078786081998
20,Draymond Green,1-2D Pull-Up,Open,Right Corner 3,0.48632209901446394,0.16215004596631027,0.3515278550192259
21,Draymond Green,1-2D Pull-Up,Poor,Mid-Left Above Break 3,0.598159078235889,0.11610009211581143,0.2857408296482998
22,Draymond Green,1-2D Pull-Up,Poor,Rim,0.3491482366807139,0.49196506131646656,0.15888670200281949
23,Draymond Green,1-2D Pull-Up,Poor,Left Above Break 3,0.4924445246331136,0.1289451782906817,0.3786102970762048
24,Draymond Green,1-2D Pull-Up,Poor,Left Corner 3,0.6097364112439322,0.12721381997604503,0.26304976878002273
25,Draymond Green,1-2D Pull-Up,Poor,Mid-Right Above Break 3,0.5982512514578943,0.13236363419700944,0.26938511434509627
26,Draymond Green,1-2D Pull-Up,Poor,Right Above Break 3,0.5757388511015069,0.12664093396090065,0.2976202149375925
27,Draymond Green,1-2D Pull-Up,Poor,Right Corner 3,0.5858797370756943,0.12987611509685243,0.28424414782745316
28,Draymond Green,Off-Movement,Average,Mid-Left Above Break 3,0.6206069969571859,0.0527218835775751,0.32667111946523897
29,Draymond Green,Off-Movement,Average,Rim,0.4744379561112185,0.29853320552325935,0.22702883836552218
30,Draymond Green,Off-Movement,Average,Left Above Break 3,0.5187661628523278,0.055732943404350824,0.4255008937433213
31,Draymond Green,Off-Movement,Average,Left Corner 3,0.6374914248937429,0.05853342421176581,0.3039751508944912
32,Draymond Green,Off-Movement,Average,Mid-Right Above Break 3,0.6280627737864191,0.06062551883638647,0.31131170737719466
33,Draymond Green,Off-Movement,Average,Right Above Break 3,0.6018245471414756,0.05738468855043928,0.34079076430808514
34,Draymond Green,Off-Movement,Average,Right Corner 3,0.6146205275226537,0.05890249928005559,0.3264769731972907
35,Draymond Green,Off-Movement,Plus,Mid-Left Above Break 3,0.632828353527203,0.055638758379867,0.31153288809293006
36,Draymond Green,Off-Movement,Plus,Rim,0.48192206974651786,0.30269730989019616,0.21538062036328598
37,Draymond Green,Off-Movement,Plus,Left Above Break 3,0.5338064159937227,0.058953969131789595,0.40723961487448773
38,Draymond Green,Off-Movement,Plus,Left Corner 3,0.6487664796013621,0.061611464722021406,0.2896220556766166
39,Draymond Green,Off-Movement,Plus,Mid-Right Above Break 3,0.6396152999358558,0.06378469206002267,0.29660000800412156
40,Draymond Green,Off-Movement,Plus,Right Above Break 3,0.6144006073764456,0.06056107356491255,0.3250383190586418
41,Draymond Green,Off-Movement,Plus,Right Corner 3,0.6268303973249614,0.06201490698707172,0.31115469568796683
42,Draymond Green,Off-Movement,Open,Mid-Left Above Break 3,0.5522195184476495,0.10878507491246223,0.3389954066398884
43,Draymond Green,Off-Movement,Open,Rim,0.3235528989682014,0.486977425088302,0.18946967594349673
44,Draymond Green,Off-Movement,Open,Left Above Break 3,0.44062248310404584,0.11810120229897494,0.44127631459697925
45,Draymond Green,Off-Movement,Open,Left Corner 3,0.5668383757286215,0.12000936155618705,0.3131522627151915
46,Draymond Green,Off-Movement,Open,Mid-Right Above Break 3,0.5547880209297004,0.12470824840563169,0.3205037306646679
47,Draymond Green,Off-Movement,Open,Right Above Break 3,0.5292549512993779,0.11832304183843374,0.3524220068621883
48,Draymond Green,Off-Movement,Open,Right Corner 3,0.5405530253047518,0.12194658666216389,0.3375003880330843
49,Draymond Green,Off-Movement,Poor,Mid-Left Above Break 3,0.6399115732295075,0.08744358260423135,0.2726448441662611
50,Draymond Green,Off-Movement,Poor,Rim,0.4205396130441109,0.4153272997168987,0.16413308723899053
51,Draymond Green,Off-Movement,Poor,Left Above Break 3,0.543559926293495,0.09618969597356816,0.3602503777329368
52,Draymond Green,Off-Movement,Poor,Left Corner 3,0.6517718170510086,0.09614881003043083,0.25207937291856064
53,Draymond Green,Off-Movement,Poor,Mid-Right Above Break 3,0.6420478668613151,0.09992492556353971,0.2580272075751452
54,Draymond Green,Off-Movement,Poor,Right Above Break 3,0.6203491695407817,0.09545778220481377,0.28419304825440456
55,Draymond Green,Off-Movement,Poor,Right Corner 3,0.6308491006270017,0.09773550672315942,0.2714153926498389
56,Draymond Green,Layup,Average,Mid-Left Above Break 3,0.553152426527389,0.1897423683503482,0.25710520512226265
