,player_name,result_type,result_contest,result_zone,0 pts,2 pts,3 pts
0,Kevon Looney,Layup,Average,Rim,0.26064579907435187,0.6668576690532422,0.07249653187240591
1,Kevon Looney,Layup,Average,Mid-Left Above Break 3,0.5849671191937391,0.23575723916849958,0.1792756416377613
2,Kevon Looney,Layup,Average,Right Corner 3,0.64415447213222,0.20356469807740513,0.152280829790375
3,Kevon Looney,Layup,Average,Left Corner 3,0.5870434079250664,0.23093071132760407,0.18202588074732953
4,Kevon Looney,Layup,Average,Left Short Mid,0.4999392117634759,0.3972401765573994,0.10282061167912478
5,Kevon Looney,Layup,Average,Left Midrange,0.6326093513515718,0.26882836608278515,0.09856228256564308
6,Kevon Looney,Layup,Average,Mid-Right Above Break 3,0.6528476711874125,0.19262843407931338,0.15452389473327394
7,Kevon Looney,Layup,Average,Left Above Break 3,0.6501850205453495,0.20611754477478184,0.14369743467986856
8,Kevon Looney,Layup,Average,Right Above Break 3,0.6149660833589304,0.21208865468091273,0.17294526196015686
9,Kevon Looney,Layup,Average,Mid-Left Midrange,0.4767024052396957,0.4147399948416937,0.10855759991861058
10,Kevon Looney,Layup,Average,Mid-Right Midrange,0.5742704271385219,0.3220666110523721,0.10366296180910592
11,Kevon Looney,Layup,Open,Rim,0.1929691862523745,0.7455255726405465,0.06150524110707904
12,Kevon Looney,Layup,Open,Mid-Left Above Break 3,0.4982747438429196,0.34332438463539494,0.15840087152168544
13,Kevon Looney,Layup,Open,Right Corner 3,0.5659241558915433,0.2977895406241001,0.13628630348435652
14,Kevon Looney,Layup,Open,Left Corner 3,0.5018523110461484,0.3371610276880412,0.16098666126581052
15,Kevon Looney,Layup,Open,Left Short Mid,0.4103564707406697,0.5031929259604438,0.08645060329888646
16,Kevon Looney,Layup,Open,Left Midrange,0.5449652253443198,0.36985244121074506,0.08518233344493517
17,Kevon Looney,Layup,Open,Mid-Right Above Break 3,0.577992649668791,0.2828753414632591,0.1391320088679498
18,Kevon Looney,Layup,Open,Left Above Break 3,0.5707878198501846,0.3009226446523028,0.12828953549751265
19,Kevon Looney,Layup,Open,Right Above Break 3,0.5342552845587926,0.3112911958430999,0.15445351959810757
20,Kevon Looney,Layup,Open,Mid-Left Midrange,0.3880991147100069,0.520986272813212,0.09091461247678125
21,Kevon Looney,Layup,Open,Mid-Right Midrange,0.48447227091101797,0.4274322998683324,0.08809542922064972
22,Kevon Looney,Layup,Poor,Rim,0.20573406632750815,0.7334683558725092,0.06079757779998277
23,Kevon Looney,Layup,Poor,Mid-Left Above Break 3,0.51504715156388,0.332568732373677,0.1523841160624428
