player_name,variable,value,counts
Andre Iguodala,points,0.0,286
Andre Iguodala,points,1.0,8
Andre Iguodala,points,2.0,121
Andre Iguodala,points,3.0,75
Andre Iguodala,points,,3
Andre Iguodala,result_contest,Alter,5
Andre Iguodala,result_contest,Average,161
Andre Iguodala,result_contest,Block,16
Andre Iguodala,result_contest,Fouled,27
Andre Iguodala,result_contest,Open,110
Andre Iguodala,result_contest,Plus,68
Andre Iguodala,result_contest,Poor,33
Andre Iguodala,result_contest,,73
Andre Iguodala,result_type,1-2D Pull-Up,26
Andre Iguodala,result_type,3+D Pull-Up,9
Andre Iguodala,result_type,Catch & Shoot,137
Andre Iguodala,result_type,Dunk,29
Andre Iguodala,result_type,Face-Up,11
Andre Iguodala,result_type,Floater,19
Andre Iguodala,result_type,Hook,6
Andre Iguodala,result_type,Layup,100
Andre Iguodala,result_type,Leaner,4
Andre Iguodala,result_type,Off-Lob / Tip,14
Andre Iguodala,result_type,Off-Movement,57
Andre Iguodala,result_type,PU Fade,3
Andre Iguodala,result_type,Post Fade,2
Andre Iguodala,result_type,Putback,3
Andre Iguodala,result_type,SC Violation,4
Andre Iguodala,result_type,Side Out,7
Andre Iguodala,result_type,TOV,52
Andre Iguodala,result_type,Take Side,10
Andre Iguodala,result_zone,Left Above Break 3,42
Andre Iguodala,result_zone,Left Corner 3,37
Andre Iguodala,result_zone,Left Midrange,9
Andre Iguodala,result_zone,Left Short Mid,6
Andre Iguodala,result_zone,Mid-Left Above Break 3,43
Andre Iguodala,result_zone,Mid-Left Deep Paint,3
Andre Iguodala,result_zone,Mid-Left Midrange,5
Andre Iguodala,result_zone,Mid-Left Short Paint,9
Andre Iguodala,result_zone,Mid-Right Above Break 3,38
Andre Iguodala,result_zone,Mid-Right Midrange,5
Andre Iguodala,result_zone,Mid-Right Short Paint,8
Andre Iguodala,result_zone,Right Above Break 3,37
Andre Iguodala,result_zone,Right Corner 3,40
Andre Iguodala,result_zone,Right Midrange,8
Andre Iguodala,result_zone,Right Short Mid,15
Andre Iguodala,result_zone,Rim,175
Andre Iguodala,result_zone,Short Backcourt,1
Andre Iguodala,result_zone,,12
Andrew Wiggins,points,0.0,1505
Andrew Wiggins,points,1.0,79
Andrew Wiggins,points,2.0,648
Andrew Wiggins,points,3.0,400
Andrew Wiggins,points,,10
Andrew Wiggins,result_contest,Alter,30
Andrew Wiggins,result_contest,Average,864
Andrew Wiggins,result_contest,Block,71
Andrew Wiggins,result_contest,Fouled,210
Andrew Wiggins,result_contest,Goaltend,1
Andrew Wiggins,result_contest,Open,407
Andrew Wiggins,result_contest,Plus,556
Andrew Wiggins,result_contest,Poor,167
Andrew Wiggins,result_contest,,336
Andrew Wiggins,result_type,1-2D Pull-Up,190
Andrew Wiggins,result_type,3+D Pull-Up,139
Andrew Wiggins,result_type,Catch & Shoot,620
Andrew Wiggins,result_type,Dunk,106
Andrew Wiggins,result_type,Face-Up,45
Andrew Wiggins,result_type,Floater,250
Andrew Wiggins,result_type,Hook,59
Andrew Wiggins,result_type,Jump Ball,3
Andrew Wiggins,result_type,Layup,464
Andrew Wiggins,result_type,Leaner,6
Andrew Wiggins,result_type,Off-Lob / Tip,38
Andrew Wiggins,result_type,Off-Movement,217
Andrew Wiggins,result_type,PU Fade,112
Andrew Wiggins,result_type,Post Fade,48
Andrew Wiggins,result_type,Putback,12
Andrew Wiggins,result_type,SC Violation,3
Andrew Wiggins,result_type,Side Out,54
Andrew Wiggins,result_type,TOV,207
Andrew Wiggins,result_type,Take FT,10
Andrew Wiggins,result_type,Take Side,59
Andrew Wiggins,result_zone,Deep Backcourt,3
Andrew Wiggins,result_zone,Left Above Break 3,162
Andrew Wiggins,result_zone,Left Corner 3,122
Andrew Wiggins,result_zone,Left Midrange,89
Andrew Wiggins,result_zone,Left Short Mid,61
Andrew Wiggins,result_zone,Mid-Left Above Break 3,160
Andrew Wiggins,result_zone,Mid-Left Deep Paint,39
Andrew Wiggins,result_zone,Mid-Left Midrange,88
Andrew Wiggins,result_zone,Mid-Left Short Paint,48
Andrew Wiggins,result_zone,Mid-Right Above Break 3,161
Andrew Wiggins,result_zone,Mid-Right Deep Paint,35
Andrew Wiggins,result_zone,Mid-Right Midrange,64
Andrew Wiggins,result_zone,Mid-Right Short Paint,56
Andrew Wiggins,result_zone,Right Above Break 3,228
Andrew Wiggins,result_zone,Right Corner 3,211
Andrew Wiggins,result_zone,Right Midrange,70
Andrew Wiggins,result_zone,Right Short Mid,55
Andrew Wiggins,result_zone,Rim,918
Andrew Wiggins,result_zone,Short Backcourt,9
Andrew Wiggins,result_zone,,63
Chris Chiozza,points,0.0,254
Chris Chiozza,points,1.0,13
Chris Chiozza,points,2.0,63
Chris Chiozza,points,3.0,62
Chris Chiozza,points,,1
Chris Chiozza,result_contest,Alter,10
Chris Chiozza,result_contest,Average,160
Chris Chiozza,result_contest,Block,8
Chris Chiozza,result_contest,Fouled,19
Chris Chiozza,result_contest,Open,61
Chris Chiozza,result_contest,Plus,50
Chris Chiozza,result_contest,Poor,18
